time,mass_concentration_of_chlorophyll_in_sea_water_ctd,mass_concentration_of_chlorophyll_in_sea_water_ctd_qc_agg,z
UTC,microg.L-1,,m
2021-09-17T01:26:12Z,NaN,2,0
2021-09-17T01:26:25Z,3.58,1,0
2021-09-17T01:30:12Z,NaN,2,0
2021-09-17T01:30:25Z,3.62,1,0
2021-09-17T01:34:12Z,NaN,2,0
2021-09-17T01:34:25Z,3.64,1,0
2021-09-17T01:38:12Z,NaN,2,0
2021-09-17T01:38:25Z,3.65,1,0
2021-09-17T01:42:12Z,NaN,2,0
2021-09-17T01:42:25Z,3.64,1,0
2021-09-17T01:46:12Z,NaN,2,0
2021-09-17T01:46:25Z,3.64,1,0
2021-09-17T01:50:12Z,NaN,2,0
2021-09-17T01:50:25Z,3.74,1,0
2021-09-17T01:54:12Z,NaN,2,0
2021-09-17T01:54:25Z,3.66,1,0
2021-09-17T01:58:12Z,NaN,2,0
2021-09-17T01:58:25Z,3.66,1,0
2021-09-17T02:02:12Z,NaN,2,0
2021-09-17T02:02:25Z,3.69,1,0
2021-09-17T02:06:12Z,NaN,2,0
2021-09-17T02:06:25Z,3.74,1,0
2021-09-17T02:10:12Z,NaN,2,0
2021-09-17T02:10:25Z,3.76,1,0
2021-09-17T02:14:12Z,NaN,2,0
2021-09-17T02:14:25Z,3.85,1,0
2021-09-17T02:18:12Z,NaN,2,0
2021-09-17T02:18:25Z,3.89,1,0
2021-09-17T02:22:12Z,NaN,2,0
2021-09-17T02:22:25Z,3.92,1,0
2021-09-17T02:26:12Z,NaN,2,0
2021-09-17T02:26:25Z,3.89,1,0
2021-09-17T02:30:12Z,NaN,2,0
2021-09-17T02:30:25Z,3.92,1,0
2021-09-17T02:34:12Z,NaN,2,0
2021-09-17T02:34:25Z,3.94,1,0
2021-09-17T02:38:12Z,NaN,2,0
2021-09-17T02:38:25Z,3.96,1,0
2021-09-17T02:42:12Z,NaN,2,0
2021-09-17T02:42:25Z,3.89,1,0
2021-09-17T02:46:12Z,NaN,2,0
2021-09-17T02:46:25Z,3.97,1,0
2021-09-17T02:50:12Z,NaN,2,0
2021-09-17T02:50:25Z,3.92,1,0
2021-09-17T02:54:12Z,NaN,2,0
2021-09-17T02:54:25Z,3.93,1,0
2021-09-17T02:58:12Z,NaN,2,0
2021-09-17T02:58:25Z,3.9,1,0
2021-09-17T03:02:12Z,NaN,2,0
2021-09-17T03:02:25Z,3.97,1,0
2021-09-17T03:06:12Z,NaN,2,0
2021-09-17T03:06:25Z,3.94,1,0
2021-09-17T03:10:12Z,NaN,2,0
2021-09-17T03:10:25Z,3.95,1,0
2021-09-17T03:14:12Z,NaN,2,0
2021-09-17T03:14:25Z,3.92,1,0
2021-09-17T03:18:12Z,NaN,2,0
2021-09-17T03:18:25Z,3.97,1,0
2021-09-17T03:22:12Z,NaN,2,0
2021-09-17T03:22:25Z,3.97,1,0
2021-09-17T03:26:12Z,NaN,2,0
2021-09-17T03:26:25Z,3.98,1,0
2021-09-17T03:30:12Z,NaN,2,0
2021-09-17T03:30:25Z,3.99,1,0
2021-09-17T03:34:12Z,NaN,2,0
2021-09-17T03:34:25Z,3.98,1,0
2021-09-17T03:38:12Z,NaN,2,0
2021-09-17T03:38:25Z,3.88,1,0
2021-09-17T03:42:12Z,NaN,2,0
2021-09-17T03:42:25Z,3.92,1,0
2021-09-17T03:46:12Z,NaN,2,0
2021-09-17T03:46:25Z,3.94,1,0
2021-09-17T03:50:12Z,NaN,2,0
2021-09-17T03:50:25Z,3.9,1,0
2021-09-17T03:54:12Z,NaN,2,0
2021-09-17T03:54:25Z,3.91,1,0
2021-09-17T03:58:12Z,NaN,2,0
2021-09-17T03:58:25Z,3.97,1,0
2021-09-17T04:02:12Z,NaN,2,0
2021-09-17T04:02:25Z,3.88,1,0
2021-09-17T04:06:12Z,NaN,2,0
2021-09-17T04:06:25Z,3.94,1,0
2021-09-17T04:10:12Z,NaN,2,0
2021-09-17T04:10:25Z,3.99,1,0
2021-09-17T04:14:12Z,NaN,2,0
2021-09-17T04:14:25Z,4.03,1,0
2021-09-17T04:18:12Z,NaN,2,0
2021-09-17T04:18:25Z,4.05,1,0
2021-09-17T04:22:12Z,NaN,2,0
2021-09-17T04:22:25Z,4.01,1,0
2021-09-17T04:26:12Z,NaN,2,0
2021-09-17T04:26:25Z,4.07,1,0
2021-09-17T04:30:12Z,NaN,2,0
2021-09-17T04:30:25Z,4.01,1,0
2021-09-17T04:34:12Z,NaN,2,0
2021-09-17T04:34:25Z,4.04,1,0
2021-09-17T04:38:12Z,NaN,2,0
2021-09-17T04:38:25Z,4.04,1,0
2021-09-17T04:42:12Z,NaN,2,0
2021-09-17T04:42:25Z,3.98,1,0
2021-09-17T04:46:12Z,NaN,2,0
2021-09-17T04:46:25Z,4.07,1,0
2021-09-17T04:50:12Z,NaN,2,0
2021-09-17T04:50:25Z,4.05,1,0
2021-09-17T04:54:12Z,NaN,2,0
2021-09-17T04:54:25Z,3.96,1,0
2021-09-17T04:58:12Z,NaN,2,0
2021-09-17T04:58:25Z,3.95,1,0
2021-09-17T05:02:12Z,NaN,2,0
2021-09-17T05:02:25Z,4.07,1,0
2021-09-17T05:06:12Z,NaN,2,0
2021-09-17T05:06:25Z,4.04,1,0
2021-09-17T05:10:12Z,NaN,2,0
2021-09-17T05:10:25Z,4.23,1,0
2021-09-17T05:14:12Z,NaN,2,0
2021-09-17T05:14:25Z,4.32,1,0
2021-09-17T05:18:12Z,NaN,2,0
2021-09-17T05:18:25Z,4.18,1,0
2021-09-17T05:22:12Z,NaN,2,0
2021-09-17T05:22:25Z,4.09,1,0
2021-09-17T05:26:12Z,NaN,2,0
2021-09-17T05:26:25Z,4.01,1,0
2021-09-17T05:30:12Z,NaN,2,0
2021-09-17T05:30:25Z,4.02,1,0
2021-09-17T05:34:12Z,NaN,2,0
2021-09-17T05:34:25Z,4.07,1,0
2021-09-17T05:38:12Z,NaN,2,0
2021-09-17T05:38:25Z,4.06,1,0
2021-09-17T05:42:12Z,NaN,2,0
2021-09-17T05:42:25Z,4.05,1,0
2021-09-17T05:46:12Z,NaN,2,0
2021-09-17T05:46:25Z,4.05,1,0
2021-09-17T05:50:12Z,NaN,2,0
2021-09-17T05:50:25Z,4.02,1,0
2021-09-17T05:54:12Z,NaN,2,0
2021-09-17T05:54:25Z,4.04,1,0
2021-09-17T05:58:12Z,NaN,2,0
2021-09-17T05:58:25Z,3.99,1,0
2021-09-17T06:02:12Z,NaN,2,0
2021-09-17T06:02:25Z,4.05,1,0
2021-09-17T06:06:12Z,NaN,2,0
2021-09-17T06:06:25Z,4.03,1,0
2021-09-17T06:10:12Z,NaN,2,0
2021-09-17T06:10:25Z,4.03,1,0
2021-09-17T06:14:12Z,NaN,2,0
2021-09-17T06:14:25Z,4.06,1,0
2021-09-17T06:18:12Z,NaN,2,0
2021-09-17T06:18:25Z,4.02,1,0
2021-09-17T06:22:12Z,NaN,2,0
2021-09-17T06:22:25Z,4.07,1,0
2021-09-17T06:26:12Z,NaN,2,0
2021-09-17T06:26:25Z,4.09,1,0
2021-09-17T06:30:12Z,NaN,2,0
2021-09-17T06:30:25Z,3.99,1,0
2021-09-17T06:34:12Z,NaN,2,0
2021-09-17T06:34:25Z,4.01,1,0
2021-09-17T06:38:12Z,NaN,2,0
2021-09-17T06:38:25Z,4.05,1,0
2021-09-17T06:42:12Z,NaN,2,0
2021-09-17T06:42:25Z,3.95,1,0
2021-09-17T06:46:12Z,NaN,2,0
2021-09-17T06:46:25Z,3.95,1,0
2021-09-17T06:50:12Z,NaN,2,0
2021-09-17T06:50:25Z,3.9,1,0
2021-09-17T06:54:12Z,NaN,2,0
2021-09-17T06:54:25Z,3.93,1,0
2021-09-17T06:58:12Z,NaN,2,0
2021-09-17T06:58:25Z,3.9,1,0
2021-09-17T07:02:12Z,NaN,2,0
2021-09-17T07:02:25Z,3.99,1,0
2021-09-17T07:06:12Z,NaN,2,0
2021-09-17T07:06:25Z,4.02,1,0
2021-09-17T07:10:12Z,NaN,2,0
2021-09-17T07:10:25Z,3.97,1,0
2021-09-17T07:14:12Z,NaN,2,0
2021-09-17T07:14:25Z,3.95,1,0
2021-09-17T07:18:12Z,NaN,2,0
2021-09-17T07:18:25Z,3.9,1,0
2021-09-17T07:22:12Z,NaN,2,0
2021-09-17T07:22:25Z,3.94,1,0
2021-09-17T07:26:12Z,NaN,2,0
2021-09-17T07:26:25Z,3.87,1,0
2021-09-17T07:30:12Z,NaN,2,0
2021-09-17T07:30:25Z,3.9,1,0
2021-09-17T07:34:12Z,NaN,2,0
2021-09-17T07:34:25Z,3.93,1,0
2021-09-17T07:38:12Z,NaN,2,0
2021-09-17T07:38:25Z,3.93,1,0
2021-09-17T07:42:12Z,NaN,2,0
2021-09-17T07:42:25Z,3.98,1,0
2021-09-17T07:46:12Z,NaN,2,0
2021-09-17T07:46:25Z,4.02,1,0
2021-09-17T07:50:12Z,NaN,2,0
2021-09-17T07:50:25Z,4.02,1,0
2021-09-17T07:54:12Z,NaN,2,0
2021-09-17T07:54:25Z,4.06,1,0
2021-09-17T07:58:12Z,NaN,2,0
2021-09-17T07:58:25Z,3.98,1,0
2021-09-17T08:02:12Z,NaN,2,0
2021-09-17T08:02:25Z,3.96,1,0
2021-09-17T08:06:12Z,NaN,2,0
2021-09-17T08:06:25Z,3.97,1,0
2021-09-17T08:10:12Z,NaN,2,0
2021-09-17T08:10:25Z,4.08,1,0
2021-09-17T08:14:12Z,NaN,2,0
2021-09-17T08:14:25Z,4.04,1,0
2021-09-17T08:18:12Z,NaN,2,0
2021-09-17T08:18:25Z,4.05,1,0
2021-09-17T08:22:12Z,NaN,2,0
2021-09-17T08:22:25Z,4.06,1,0
2021-09-17T08:26:12Z,NaN,2,0
2021-09-17T08:26:25Z,4.01,1,0
2021-09-17T08:30:12Z,NaN,2,0
2021-09-17T08:30:25Z,3.94,1,0
2021-09-17T08:34:12Z,NaN,2,0
