#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2021 01 05 04 56 999 99.0 99.0  1.07 13.33  6.98 265 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 05 05 26 999 99.0 99.0  1.11 14.29  6.90 257 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 05 05 56 999 99.0 99.0  1.20 14.29  7.22 260 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 05 06 26 999 99.0 99.0  1.24 14.29  7.26 261 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 05 06 56 999 99.0 99.0  1.25 14.29  7.16 261 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 05 07 26 999 99.0 99.0  1.36 14.29  7.51 260 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 05 07 56 999 99.0 99.0  1.35 14.29  6.98 260 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 05 08 26 999 99.0 99.0  1.35  6.25  6.76 282 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 05 08 56 999 99.0 99.0  1.39  6.25  6.85 279 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 05 09 26 999 99.0 99.0  1.36  5.88  6.65 285 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 05 09 56 999 99.0 99.0  1.30 13.33  6.82 262 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 05 10 26 999 99.0 99.0  1.27 14.29  6.93 258 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 05 10 56 999 99.0 99.0  1.28  6.25  6.84 283 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 05 11 26 999 99.0 99.0  1.15 11.11  6.88 267 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 05 11 56 999 99.0 99.0  1.20 12.50  7.04 267 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 05 12 26 999 99.0 99.0  1.13 11.11  6.89 272 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 05 12 56 999 99.0 99.0  1.08 18.18  6.81 254 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 05 13 26 999 99.0 99.0  1.00 12.50  6.88 267 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 05 13 56 999 99.0 99.0  1.00 13.33  7.08 258 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 05 14 26 999 99.0 99.0  1.00 13.33  7.03 261 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 05 14 56 999 99.0 99.0  0.98 13.33  6.74 255 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 05 15 26 999 99.0 99.0  0.99 14.29  6.94 254 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 05 15 56 999 99.0 99.0  1.03 11.76  7.35 267 9999.0 999.0  15.3 999.0 99.0 99.00
